127.0.0.1, 2015-09-19 13:18:09, GET, /oauth/spotify/index, HTTP/1.1, 200, 2.537000
127.0.0.1, 2015-09-19 13:19:08, GET, /admin/default/edit/oauth/views/spotify/index.html, HTTP/1.1, 200, 0.064000
127.0.0.1, 2015-09-19 13:19:08, GET, /admin/default/edit/oauth/views/spotify/index.html, HTTP/1.1, 200, 0.075000
127.0.0.1, 2015-09-19 13:19:08, GET, /favicon.ico, HTTP/1.1, 400, 0.008000
127.0.0.1, 2015-09-19 13:19:08, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.125000
127.0.0.1, 2015-09-19 13:19:08, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.208000
127.0.0.1, 2015-09-19 13:19:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.272000
127.0.0.1, 2015-09-19 13:19:08, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.125000
127.0.0.1, 2015-09-19 13:19:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.078000
127.0.0.1, 2015-09-19 13:19:09, GET, /admin/default/design/oauth, HTTP/1.1, 200, 0.114000
127.0.0.1, 2015-09-19 13:19:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-09-19 13:19:13, GET, /admin/default/edit/oauth/controllers/spotify.py, HTTP/1.1, 200, 0.093000
127.0.0.1, 2015-09-19 13:19:13, GET, /favicon.ico, HTTP/1.1, 400, 0.004000
127.0.0.1, 2015-09-19 13:19:13, GET, /admin/default/edit/oauth/controllers/spotify.py, HTTP/1.1, 200, 0.121000
127.0.0.1, 2015-09-19 13:19:13, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.161000
127.0.0.1, 2015-09-19 13:19:13, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.219000
127.0.0.1, 2015-09-19 13:19:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.291000
127.0.0.1, 2015-09-19 13:19:13, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.148000
127.0.0.1, 2015-09-19 13:20:02, GET, /admin/default/design/oauth, HTTP/1.1, 200, 0.128000
127.0.0.1, 2015-09-19 13:20:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-09-19 13:20:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.046000
127.0.0.1, 2015-09-19 13:20:11, GET, /admin/default/edit/oauth/controllers/spotify.py, HTTP/1.1, 200, 0.090000
127.0.0.1, 2015-09-19 13:20:11, GET, /admin/default/edit/oauth/controllers/spotify.py, HTTP/1.1, 200, 0.087000
127.0.0.1, 2015-09-19 13:20:11, GET, /favicon.ico, HTTP/1.1, 400, 0.004000
127.0.0.1, 2015-09-19 13:20:11, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.149000
127.0.0.1, 2015-09-19 13:20:11, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.189000
127.0.0.1, 2015-09-19 13:20:11, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.241000
127.0.0.1, 2015-09-19 13:20:11, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.070000
127.0.0.1, 2015-09-19 13:21:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.048000
127.0.0.1, 2015-09-19 13:21:11, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.061000
127.0.0.1, 2015-09-19 13:22:00, POST, /admin/default/edit/oauth/views/spotify/index.html, HTTP/1.1, 200, 0.063000
127.0.0.1, 2015-09-19 13:22:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.044000
127.0.0.1, 2015-09-19 13:22:12, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.052000
127.0.0.1, 2015-09-19 13:23:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.064000
127.0.0.1, 2015-09-19 13:23:12, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.061000
127.0.0.1, 2015-09-19 13:24:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.054000
127.0.0.1, 2015-09-19 13:24:12, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.064000
